CustomerID,Age,Tenure,CreditScore,Balance,MonthlyCharges,NumProducts,HasCreditCard,IsActiveMember,Country,Gender,CustomerType,Churn
1,56,56,699,25.527449571832904,444.35468962717346,4,1,1,France,Male,Regular,0
2,69,38,586,12.216508834199633,383.85280772428945,4,0,0,France,Female,Regular,0
3,46,32,485,18.165241479653154,430.16221762839666,2,1,1,France,Female,Premium,0
4,32,58,583,250.0,123.72648924724082,4,0,1,France,Female,Regular,0
5,60,17,815,53.74215591837795,606.279735172203,2,1,0,Spain,Male,Premium,0
6,25,55,536,127.69200621124011,259.14078157014274,1,1,1,France,Male,Regular,0
7,78,56,317,28.617179998793375,403.95583601286404,3,0,1,Germany,Female,Regular,0
8,38,47,713,61.94241124265234,205.6138641392856,2,0,1,France,Male,Regular,0
9,56,41,308,30.780638539818916,746.9378604713814,3,1,1,Spain,Female,Premium,0
10,75,26,719,19.891556772494557,572.6049865515599,3,1,1,Germany,Female,Regular,0
11,36,51,328,36.612402280874676,771.7799446487684,4,1,0,Spain,Male,Regular,0
12,40,41,647,27.870626999889115,1195.6741231781077,4,1,1,Spain,Male,Premium,0
13,28,39,749,196.97137684170082,229.18669039139095,2,1,0,Germany,Male,Regular,1
14,28,25,679,34.275461725437,139.63913330720058,2,0,1,France,Female,Premium,0
15,41,24,665,83.33035149565956,190.7540210782787,4,1,1,France,Female,Regular,0
16,70,22,526,54.953539932764784,399.3589313527366,3,1,1,Germany,Male,Regular,0
17,53,66,417,32.66049363585112,1139.6212756574892,4,1,0,Germany,Male,Regular,1
18,57,51,711,32.136970791205385,169.09866861778806,3,1,1,France,Male,Regular,0
19,41,30,655,20.91916831262716,273.2016095278747,1,0,1,France,Male,Regular,0
20,20,63,553,5.657416306030098,398.1031346196416,2,1,1,Germany,Female,Regular,0
21,39,70,842,71.66286885392283,296.9641616473395,4,0,1,France,Female,Regular,0
22,70,45,743,125.10963575294647,845.8787151440563,3,1,0,Germany,Male,Regular,1
23,19,1,380,12.292140474475671,87.9534976859341,1,1,1,France,Male,Regular,0
24,41,17,345,129.96438234947072,1290.9853001133001,3,1,1,France,Female,Premium,0
25,61,59,348,13.218087078650766,933.1247587050257,2,1,0,France,Female,Regular,1
26,47,32,748,37.7595450267779,622.9254148446336,4,1,1,Germany,Female,Regular,0
